forward primer,reverse primer,forward GC,forward T,reverse GC,reverse T,dist,Mg Conc,idx,mean_ct
forw3,rev8,0.6,60.18,0.55,60.32,841.0,3.4,35.0,15.135281562805176
forw4,rev5,0.6,59.81,0.6,59.89,212.0,3.4,139.0,16.2100830078125
forw1,rev4,0.55,59.81,0.55,59.68,688.0,1.3,196.0,27.13336181640625
forw6,rev2,0.6,60.18,0.55,59.74,511.0,1.3,116.0,24.496257781982425
forw4,rev7,0.6,59.81,0.55,60.18,326.0,2.0,149.0,9.609214782714844
forw1,rev7,0.55,59.81,0.55,60.18,366.0,1.3,184.0,32.622238159179695
forw2,rev4,0.55,60.18,0.55,59.68,576.0,1.3,96.0,25.30094146728516
forw3,rev8,0.6,60.18,0.55,60.32,841.0,2.7,34.0,9.094284057617188
forw6,rev0,0.6,60.18,0.55,60.18,147.0,2.7,110.0,26.63984680175781
forw1,rev5,0.55,59.81,0.6,59.89,252.0,2.7,174.0,19.871755599975586
forw3,rev0,0.6,60.18,0.55,60.18,340.0,2.0,13.0,7.942254543304442
forw3,rev7,0.6,60.18,0.55,60.18,338.0,2.0,17.0,13.693770408630373
forw5,rev0,0.55,60.18,0.55,60.18,297.0,2.0,49.0,16.592315673828125
forw5,rev7,0.55,60.18,0.55,60.18,295.0,2.0,53.0,18.9842529296875
forw5,rev6,0.55,60.18,0.55,60.25,397.0,2.0,65.0,9.781832695007324
forw2,rev6,0.55,60.18,0.55,60.25,356.0,2.0,101.0,11.398398399353027
forw4,rev0,0.6,59.81,0.55,60.18,328.0,2.0,145.0,15.337573051452635
forw4,rev6,0.6,59.81,0.55,60.25,428.0,2.0,161.0,11.845804214477539
forw1,rev0,0.55,59.81,0.55,60.18,368.0,2.0,181.0,14.164798736572266
forw4,rev7,0.6,59.81,0.55,60.18,326.0,2.0,149.0,15.485954284667967
forw3,rev8,0.6,60.18,0.55,60.32,841.0,3.4,35.0,9.094030380249023
forw1,rev5,0.55,59.81,0.6,59.89,252.0,2.7,174.0,14.68865966796875
forw3,rev1,0.6,60.18,0.55,59.89,131.0,2.7,2.0,12.836400985717773
forw3,rev1,0.6,60.18,0.55,59.89,131.0,3.4,3.0,9.358135223388672
forw3,rev5,0.6,60.18,0.6,59.89,224.0,2.7,6.0,16.608537673950195
forw3,rev5,0.6,60.18,0.6,59.89,224.0,3.4,7.0,16.902585983276367
forw3,rev3,0.6,60.18,0.6,59.89,222.0,2.7,10.0,17.227712631225586
forw3,rev3,0.6,60.18,0.6,59.89,222.0,3.4,11.0,12.55652141571045
forw6,rev0,0.6,60.18,0.55,60.18,147.0,3.4,111.0,16.302988052368164
forw6,rev7,0.6,60.18,0.55,60.18,145.0,2.7,114.0,12.720999717712402
forw6,rev7,0.6,60.18,0.55,60.18,145.0,3.4,115.0,17.247617721557614
forw6,rev6,0.6,60.18,0.55,60.25,247.0,2.7,126.0,20.48689079284668
forw6,rev6,0.6,60.18,0.55,60.25,247.0,3.4,127.0,11.141497611999512
forw4,rev1,0.6,59.81,0.55,59.89,119.0,2.7,134.0,21.098434448242188
