Well Position,CT,Ct Mean
A1,16.08116340637207,16.298688888549805
A2,16.156572341918945,16.298688888549805
A3,16.658329010009766,16.298688888549805
A4,26.694580078125,26.338298797607422
A5,Undetermined,26.338298797607422
A6,25.98201560974121,26.338298797607422
B1,Undetermined,
B2,Undetermined,
B3,Undetermined,
B4,Undetermined,
B5,Undetermined,
B6,Undetermined,
